"product-img href","img-fluid src","product-content-left href","product-name-plp-h3","new-price","plp-swatches src","plp-swatches","pro-badge","pro-badge src"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-lash-booster-mascara-black-n-01-10-ml-034-floz-mu-00020198-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00020198-R-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-lash-booster-mascara-black-n-01-10-ml-034-floz-mu-00020198-1/p//","Lash Booster Mascara - N.01 - Black","144.00","","","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-eyelash-curler-mu-00025327-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00025327-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-eyelash-curler-mu-00025327-1/p//","Eyelash Curler","54.00","","","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-gloze-highlighter-15-ml-051-floz-mu-00019692-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00019692-R-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-gloze-highlighter-15-ml-051-floz-mu-00019692-1/p//","Glozé Highlighter - 15ml","108.00","","","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-matt-lipstick-latte-n-01-35-g-012-net-wt-oz-mu-00015571-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015571-R-1_2.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-matt-lipstick-latte-n-01-35-g-012-net-wt-oz-mu-00015571-1/p//","Velvet Matt Lipstick - Latte","96.00","https://www.boutiqaat.com/static/images/color.png","8 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-the-blenders-pro-mu-00021673-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00021673-r-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-the-blenders-pro-mu-00021673-1/p//","3-in-1 The Blenders PRO Set","96.00","","","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-beauty-booster-foundation-cotton-blossom-n-00-30-ml-101-floz-mu-00019694-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00019694-R-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-beauty-booster-foundation-cotton-blossom-n-00-30-ml-101-floz-mu-00019694-1/p//","Beauty Booster Foundation - N.00 - Cotton Blossom","132.00","https://www.boutiqaat.com/static/images/color.png","7 colors","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-archchic-3-in-1-brows-styler-medium-brown-n-02-mu-00019723-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00019723-R-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-archchic-3-in-1-brows-styler-medium-brown-n-02-mu-00019723-1/p//","ArchChic 3-in-1 Brows Styler - N.02 - Medium Brown","126.00","https://www.boutiqaat.com/static/images/color.png","2 colors","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-archchic-3-in-1-brows-styler-deep-brown-n-03-mu-00019724-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00019724-R-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-archchic-3-in-1-brows-styler-deep-brown-n-03-mu-00019724-1/p//","ArchChic 3-in-1 Brows Styler - N.03 - Deep Brown","126.00","https://www.boutiqaat.com/static/images/color.png","2 colors","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-veil-lip-cheek-red-crush-n-01-6-ml-02-floz-mu-00019506-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00019506-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-veil-lip-cheek-red-crush-n-01-6-ml-02-floz-mu-00019506-1/p//","Velvet Veil Lip & Cheek Tint - N.01 - Red Crush","84.00","https://www.boutiqaat.com/static/images/color.png","2 colors","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-veil-lip-cheek-sakura-n-02-6-ml-02-floz-mu-00019507-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00019507-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-veil-lip-cheek-sakura-n-02-6-ml-02-floz-mu-00019507-1/p//","Velvet Veil Lip & Cheek Tint - N.02 - Sakura","84.00","https://www.boutiqaat.com/static/images/color.png","2 colors","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-pro-brush-z01-mu-00019565-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00019565-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-pro-brush-z01-mu-00019565-1/p//","Pro Brush - N.Z01","102.00","","","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-beauty-booster-foundation-radiant-pearl-n-01-30-ml-101-floz-mu-00015412-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015412-R6-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-beauty-booster-foundation-radiant-pearl-n-01-30-ml-101-floz-mu-00015412-1/p//","Beauty Booster Foundation - N.01 - Radiant Pearl","132.00","https://www.boutiqaat.com/static/images/color.png","7 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-beauty-booster-foundation-iconic-beige-n-02-30-ml-101-floz-mu-00015415-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015415-R7-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-beauty-booster-foundation-iconic-beige-n-02-30-ml-101-floz-mu-00015415-1/p//","Beauty Booster Foundation - N.02 - Iconic Beige","132.00","https://www.boutiqaat.com/static/images/color.png","7 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
